,AAPL,AMZN,GOOGL,MSFT
2024-10-03,225.6699981689453,181.9600067138672,165.86000061035156,416.5400085449219
2024-10-04,226.8000030517578,186.50999450683594,167.05999755859375,416.05999755859375
2024-10-07,221.69000244140625,180.8000030517578,162.97999572753906,409.5400085449219
2024-10-08,225.77000427246094,182.72000122070312,164.3800048828125,414.7099914550781
2024-10-09,229.5399932861328,185.1699981689453,161.86000061035156,417.4599914550781
2024-10-10,229.0399932861328,186.64999389648438,162.0800018310547,415.8399963378906
2024-10-11,227.5500030517578,188.82000732421875,163.24000549316406,416.32000732421875
2024-10-14,231.3000030517578,187.5399932861328,164.9600067138672,419.1400146484375
2024-10-15,233.85000610351562,187.69000244140625,165.4600067138672,418.739990234375
2024-10-16,231.77999877929688,186.88999938964844,165.16000366210938,416.1199951171875
2024-10-17,232.14999389648438,187.52999877929688,162.92999267578125,416.7200012207031
2024-10-18,235.0,188.99000549316406,163.4199981689453,418.1600036621094
2024-10-21,236.47999572753906,189.07000732421875,164.07000732421875,418.7799987792969
2024-10-22,235.86000061035156,189.6999969482422,165.13999938964844,427.510009765625
2024-10-23,230.75999450683594,184.7100067138672,162.77999877929688,424.6000061035156
2024-10-24,230.57000732421875,186.3800048828125,162.72000122070312,424.7300109863281
2024-10-25,231.41000366210938,187.8300018310547,165.27000427246094,428.1499938964844
2024-10-28,233.39999389648438,188.38999938964844,166.72000122070312,426.5899963378906
2024-10-29,233.6699981689453,190.8300018310547,169.67999267578125,431.95001220703125
2024-10-30,230.10000610351562,192.72999572753906,174.4600067138672,432.5299987792969
2024-10-31,225.91000366210938,186.39999389648438,171.11000061035156,406.3500061035156
